lat,lng,city,city_ascii,pop,country,iso2,iso3,province
34.98300013,63.13329964,Qal eh-ye Now,Qal eh-ye,2997,Afghanistan,AF,AFG,Badghis
34.5167011,65.25000063,Chaghcharan,Chaghcharan,15000,Afghanistan,AF,AFG,Ghor
31.58299802,64.35999955,Lashkar Gah,Lashkar Gah,201546,Afghanistan,AF,AFG,Hilmand
31.11200108,61.88699752,Zaranj,Zaranj,49851,Afghanistan,AF,AFG,Nimroz
32.63329815,65.86669865,Tarin Kowt,Tarin Kowt,10000,Afghanistan,AF,AFG,Uruzgan
32.85000016,68.41670453,Zareh Sharan,Zareh Sharan,13737,Afghanistan,AF,AFG,Paktika
34.86600004,71.15000459,Asadabad,Asadabad,48400,Afghanistan,AF,AFG,Kunar
36.72999904,69.54000364,Taloqan,Taloqan,64256,Afghanistan,AF,AFG,Takhar
35.01669608,69.33330065,Mahmud-E Eraqi,Mahmud-E Eraqi,7407,Afghanistan,AF,AFG,Kapisa
34.65000001,70.16670052,Mehtar Lam,Mehtar Lam,17345,Afghanistan,AF,AFG,Laghman
33.9667021,68.96670354,Baraki Barak,Baraki Barak,22305,Afghanistan,AF,AFG,Logar
36.26100015,68.04000051,Aybak,Aybak,24000,Afghanistan,AF,AFG,Samangan
34.45000209,68.79999663,Mayda Shahr,Mayda Shahr,35008,Afghanistan,AF,AFG,Wardak
34.48676963,62.59177608,Karokh,Karokh,14388.5,Afghanistan,AF,AFG,Hirat
36.65798077,65.73830237,Sheberghan,Sheberghan,74441,Afghanistan,AF,AFG,Jawzjan
35.95107302,68.70111894,Pol-e Khomri,Pol-e Khomri,41029,Afghanistan,AF,AFG,Baghlan
36.75011985,66.89973018,Balkh,Balkh,147426,Afghanistan,AF,AFG,Balkh
35.93022158,64.77009273,Meymaneh,Meymaneh,199795,Afghanistan,AF,AFG,Faryab
36.93165916,65.10149369,Andkhvoy,Andkhvoy,50469,Afghanistan,AF,AFG,Faryab
32.11226341,66.8867594,Qalat,Qalat,12191,Afghanistan,AF,AFG,Zabul
33.56331179,68.41782873,Ghazni,Ghazni,129892.5,Afghanistan,AF,AFG,Ghazni
37.12976076,70.57924719,Feyzabad,Feyzabad,52490,Afghanistan,AF,AFG,Badakhshan
36.72795066,68.87252966,Kondoz,Kondoz,210855.5,Afghanistan,AF,AFG,Kunduz
34.44152692,70.43610347,Jalalabad,Jalalabad,401697,Afghanistan,AF,AFG,Nangarhar
35.01826174,69.16791215,Charikar,Charikar,53676,Afghanistan,AF,AFG,Parwan
33.60005373,69.21462764,Gardiz,Gardiz,82680.5,Afghanistan,AF,AFG,Paktya
34.82106447,67.52103593,Bamian,Bamian,61863,Afghanistan,AF,AFG,Bamyan
36.13933026,68.69925858,Baghlan,Baghlan,163598.5,Afghanistan,AF,AFG,Baghlan
32.39172955,62.09681921,Farah,Farah,58604,Afghanistan,AF,AFG,Farah
34.33000917,62.16999304,Herat,Herat,439232.5,Afghanistan,AF,AFG,Hirat
36.69999371,67.10002803,Mazar-e Sharif,Mazar-e Sharif,365432.5,Afghanistan,AF,AFG,Balkh
31.61002016,65.69494584,Kandahar,Kandahar,613871,Afghanistan,AF,AFG,Kandahar
34.51669029,69.18326005,Kabul,Kabul,3160266,Afghanistan,AF,AFG,Kabul
60.09699618,19.94900447,Mariehamn,Mariehamn,10682,Aland,AX,ALD,Finström
41.51899817,19.79700359,Kruje,Kruje,21286,Albania,AL,ALB,Durrës
