"","County.Code","Arithmetic.Mean"
"10","00003",7.076923
"11","00003",7.076923
"12","00003",7.076923
"13","00003",7.076923
"19","00027",7.391954
"20","00027",7.391954
"21","00027",7.391954
"22","00027",7.391954
"32","00033",7.380899
"33","00033",7.380899
"34","00033",7.380899
"35","00033",7.380899
"41","00049",7.297753
"42","00049",7.297753
"43","00049",7.297753
"44","00049",7.297753
"58","00055",8.018889
"59","00055",8.018889
"60","00055",8.018889
"61","00055",8.018889
"73","00069",6.859091
"74","00069",6.859091
"75","00069",6.859091
"76","00069",6.859091
"123","00073",9.763
"124","00073",9.763
"125","00073",9.763
"126","00073",9.763
"127","00073",10.284615
"128","00073",10.284615
"129","00073",10.284615
"130","00073",10.284615
"131","00073",10.665428
"132","00073",10.665428
"133","00073",10.658547
"134","00073",10.658547
"135","00073",10.658547
"136","00073",10.658547
"212","00073",8.444554
"213","00073",8.444554
"214","00073",8.444554
"215","00073",8.444554
"216","00073",8.93
"217","00073",8.93
"218","00073",8.93
"219","00073",8.93
"233","00073",9.17451
"234","00073",9.17451
"235","00073",9.17451
"236","00073",9.17451
"237","00073",8.958
"238","00073",8.958
"239","00073",8.958
"240","00073",8.958
"253","00073",8.583
"254","00073",8.583
"255","00073",8.583
"256","00073",8.583
"257","00073",9.353061
"258","00073",9.353061
"259","00073",9.353061
"260","00073",9.353061
"349","00073",10.622
"350","00073",10.622
"351","00073",10.622
"352","00073",10.622
"395","00089",7.138667
"396","00089",7.138667
"397","00089",7.138667
"398","00089",7.138667
"399","00089",7.206667
"400","00089",7.206667
"401","00089",7.206667
"402","00089",7.206667
"423","00097",7.904348
"424","00097",7.904348
"425","00097",7.904348
"426","00097",7.904348
"449","00101",8.385714
"450","00101",8.385714
"451","00101",8.385714
"452","00101",8.385714
"453","00101",8.583721
"454","00101",8.583721
"455","00101",8.583721
"456","00101",8.583721
"468","00103",7.29
"469","00103",7.29
"470","00103",7.29
"471","00103",7.29
"486","00113",9.082143
"487","00113",9.082143
"488","00113",9.082143
"489","00113",9.082143
"490","00113",9.219481
"491","00113",9.219481
"492","00113",9.219481
"493","00113",9.219481
"525","00121",8.415909
"526","00121",8.415909
"527","00121",8.415909
"528","00121",8.415909
"534","00125",7.332836
"535","00125",7.332836
"536","00125",7.332836
"537","00125",7.332836
"549","00020",3.255668
"550","00020",3.181395
"551","00020",3.181395
"552","00020",3.181395
"553","00020",3.181395
"560","00020",4.825747
"561","00020",4.794186
"562","00020",4.794186
"563","00020",4.794186
"564","00020",4.794186
"586","00090",7.658442
"587","00090",7.658442
"588","00090",7.658442
"589","00090",7.658442
"636","00090",7.661111
"637","00090",7.661111
"638","00090",7.661111
"639","00090",7.661111
"640","00090",8.468421
"641","00090",8.468421
"642","00090",8.468421
"643","00090",8.468421
"719","00090",9.198667
"720","00090",9.198667
"721","00090",9.198667
"722","00090",9.198667
"746","00110",5.540541
"747","00110",5.540541
"748","00110",5.540541
"749","00110",5.540541
"750","00110",5.852324
"751","00110",5.754545
"752","00110",5.754545
"753","00110",5.754545
"754","00110",5.754545
"762","00170",6.113208
"763","00170",5.956173
"764","00170",5.956173
"765","00170",5.956173
"766","00170",5.956173
"774","00170",2.129663
"775","00170",2.056442
"776","00170",2.056442
"777","00170",2.056442
"778","00170",2.056442
"782","00001",2.530769
"783","00001",2.530769
"784","00001",2.530769
"785","00001",2.530769
"786","00001",2.541026
"787","00001",2.541026
"788","00001",2.541026
"789","00001",2.541026
"794","00003",3.556626
"795","00003",3.504098
"796","00003",3.504098
"797","00003",3.504098
"798","00003",3.504098
"888","00012",1.178918
"889","00012",1.192135
"890","00012",1.192135
"891","00012",1.192135
"892","00012",1.192135
"919","00013",13.282609
"920","00013",13.282609
"921","00013",13.282609
"922","00013",13.282609
"923","00013",8.11418
"924","00013",8.090756
"925","00013",8.090756
"926","00013",8.090756
"927","00013",8.090756
"995","00013",6.727246
"996","00013",6.697107
"997","00013",6.697107
"998","00013",6.697107
"999","00013",6.697107
"1016","00013",6.050276
"1017","00013",5.983761
"1018","00013",5.983761
"1019","00013",5.983761
"1020","00013",5.983761
"1044","00013",6.68282
"1045","00013",6.620921
"1046","00013",6.620921
"1047","00013",6.620921
"1048","00013",6.620921
"1171","00013",8.275142
"1172","00013",8.339286
"1173","00013",8.339286
"1174","00013",8.339286
"1175","00013",8.339286
"1204","00013",6.996047
"1205","00013",6.95
"1206","00013",6.95
"1207","00013",6.95
"1208","00013",6.95
"1280","00013",7.87602
"1281","00013",7.828452
"1282","00013",7.828452
"1283","00013",7.828452
"1284","00013",7.828452
"1295","00013",13.612554
"1296","00013",13.576136
"1297","00013",13.576136
