"","State.Code","Arithmetic.Mean"
"10","00001",7.076923
"11","00001",7.076923
"12","00001",7.076923
"13","00001",7.076923
"19","00001",7.391954
"20","00001",7.391954
"21","00001",7.391954
"22","00001",7.391954
"32","00001",7.380899
"33","00001",7.380899
"34","00001",7.380899
"35","00001",7.380899
"41","00001",7.297753
"42","00001",7.297753
"43","00001",7.297753
"44","00001",7.297753
"58","00001",8.018889
"59","00001",8.018889
"60","00001",8.018889
"61","00001",8.018889
"73","00001",6.859091
"74","00001",6.859091
"75","00001",6.859091
"76","00001",6.859091
"123","00001",9.763
"124","00001",9.763
"125","00001",9.763
"126","00001",9.763
"127","00001",10.284615
"128","00001",10.284615
"129","00001",10.284615
"130","00001",10.284615
"131","00001",10.665428
"132","00001",10.665428
"133","00001",10.658547
"134","00001",10.658547
"135","00001",10.658547
"136","00001",10.658547
"212","00001",8.444554
"213","00001",8.444554
"214","00001",8.444554
"215","00001",8.444554
"216","00001",8.93
"217","00001",8.93
"218","00001",8.93
"219","00001",8.93
"233","00001",9.17451
"234","00001",9.17451
"235","00001",9.17451
"236","00001",9.17451
"237","00001",8.958
"238","00001",8.958
"239","00001",8.958
"240","00001",8.958
"253","00001",8.583
"254","00001",8.583
"255","00001",8.583
"256","00001",8.583
"257","00001",9.353061
"258","00001",9.353061
"259","00001",9.353061
"260","00001",9.353061
"349","00001",10.622
"350","00001",10.622
"351","00001",10.622
"352","00001",10.622
"395","00001",7.138667
"396","00001",7.138667
"397","00001",7.138667
"398","00001",7.138667
"399","00001",7.206667
"400","00001",7.206667
"401","00001",7.206667
"402","00001",7.206667
"423","00001",7.904348
"424","00001",7.904348
"425","00001",7.904348
"426","00001",7.904348
"449","00001",8.385714
"450","00001",8.385714
"451","00001",8.385714
"452","00001",8.385714
"453","00001",8.583721
"454","00001",8.583721
"455","00001",8.583721
"456","00001",8.583721
"468","00001",7.29
"469","00001",7.29
"470","00001",7.29
"471","00001",7.29
"486","00001",9.082143
"487","00001",9.082143
"488","00001",9.082143
"489","00001",9.082143
"490","00001",9.219481
"491","00001",9.219481
"492","00001",9.219481
"493","00001",9.219481
"525","00001",8.415909
"526","00001",8.415909
"527","00001",8.415909
"528","00001",8.415909
"534","00001",7.332836
"535","00001",7.332836
"536","00001",7.332836
"537","00001",7.332836
"549","00002",3.255668
"550","00002",3.181395
"551","00002",3.181395
"552","00002",3.181395
"553","00002",3.181395
"560","00002",4.825747
"561","00002",4.794186
"562","00002",4.794186
"563","00002",4.794186
"564","00002",4.794186
"586","00002",7.658442
"587","00002",7.658442
"588","00002",7.658442
"589","00002",7.658442
"636","00002",7.661111
"637","00002",7.661111
"638","00002",7.661111
"639","00002",7.661111
"640","00002",8.468421
"641","00002",8.468421
"642","00002",8.468421
"643","00002",8.468421
"719","00002",9.198667
"720","00002",9.198667
"721","00002",9.198667
"722","00002",9.198667
"746","00002",5.540541
"747","00002",5.540541
"748","00002",5.540541
"749","00002",5.540541
"750","00002",5.852324
"751","00002",5.754545
"752","00002",5.754545
"753","00002",5.754545
"754","00002",5.754545
"762","00002",6.113208
"763","00002",5.956173
"764","00002",5.956173
"765","00002",5.956173
"766","00002",5.956173
"774","00002",2.129663
"775","00002",2.056442
"776","00002",2.056442
"777","00002",2.056442
"778","00002",2.056442
"782","00004",2.530769
"783","00004",2.530769
"784","00004",2.530769
"785","00004",2.530769
"786","00004",2.541026
"787","00004",2.541026
"788","00004",2.541026
"789","00004",2.541026
"794","00004",3.556626
"795","00004",3.504098
"796","00004",3.504098
"797","00004",3.504098
"798","00004",3.504098
"888","00004",1.178918
"889","00004",1.192135
"890","00004",1.192135
"891","00004",1.192135
"892","00004",1.192135
"919","00004",13.282609
"920","00004",13.282609
"921","00004",13.282609
"922","00004",13.282609
"923","00004",8.11418
"924","00004",8.090756
"925","00004",8.090756
"926","00004",8.090756
"927","00004",8.090756
"995","00004",6.727246
"996","00004",6.697107
"997","00004",6.697107
"998","00004",6.697107
"999","00004",6.697107
